Event	ID	Name			Wwise Object Path	Notes
	236712321	Play_DaggersCharged			\Default Work Unit\Play_DaggersCharged	
	591216089	Play_DaggerHitEnemy			\Default Work Unit\Play_DaggerHitEnemy	
	730767624	Play_DaggerThrow			\Default Work Unit\Play_DaggerThrow	
	911155720	Play_Lotus1			\Default Work Unit\Play_Lotus1	
	1226218464	Play_MeleeVoice			\Default Work Unit\Play_MeleeVoice	
	2431438415	Play_LotusVoice			\Default Work Unit\Play_LotusVoice	
	2508626887	Play_DaggerLand			\Default Work Unit\Play_DaggerLand	
	2674848417	Play_Shunpo			\Default Work Unit\Play_Shunpo	
	2921051050	Play_DaggerEffort			\Default Work Unit\Play_DaggerEffort	
	3085708960	Play_DeathQuote			\Default Work Unit\Play_DeathQuote	
	3386040098	Play_DaggerSwing			\Default Work Unit\Play_DaggerSwing	
	3507441748	Play_DaggerPickup			\Default Work Unit\Play_DaggerPickup	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	8652491	ThisMustNotBeTheEnd	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\ThisMustNotBeTheEnd_118B61A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\DeathQuote\ThisMustNotBeTheEnd		73019
	48456149	SchemaMustTriumph	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\SchemaMustTriumph_00DF8283.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\DeathQuote\SchemaMustTriumph		70959
	153879181	DaggerThrow2	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\DaggerThrow2_C9A3ACD9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\DaggerThrow\DaggerThrow2		10691
	164660380	DaggerLand1	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\DaggerLand1_9183238E.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\DaggerLand\DaggerLand1		10838
	221420671	Effort4	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\Effort4_9917BC15.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\DaggerEffort\Effort4		6106
	275485147	VoiceLine5	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\VoiceLine5_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\LotusVoice\VoiceLine5		36837
	314611840	VoiceLine3	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\VoiceLine3_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\LotusVoice\VoiceLine3		41825
	325029880	Effort1	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\Effort1_06511A3E.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\DaggerEffort\Effort1		6947
	337620008	VoiceLine1	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\VoiceLine1_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\LotusVoice\VoiceLine1		44236
	498855695	DaggerLand2	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\DaggerLand2_FB32E3BB.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\DaggerLand\DaggerLand2		13344
	516451615	DaggerPickup1	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\DaggerPickup1_A395A128.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\DaggerPickup\DaggerPickup1		11999
	521362248	DaggerSwing3	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\DaggerSwing3_5A3D11F2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\DaggerSwing\DaggerSwing3		6936
	527714566	MeleeVoice2	D:\Newer Drive\Documents\Battle Queen Sounds\.cache\Windows\SFX\MeleeVoice2_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixer\MeleeVoice\MeleeVoice2		4955
